,Industry,Furniture and Home Furnishings Stores,Electronics and Appliance Stores,Building Material and Garden Equip and Supplies Dlrs,Food and Beverage Stores,Health and Personal Care Stores,Gasoline Stations,Clothing and Clothing Accessories Stores,"Sporting Goods, Hobby, Musical Instr, and Book Stores",General Merchandise Stores,Miscellaneous Store Retailers,Nonstore Retailers,Ambulatory Health Care Services,"Amusement, Gambling, and Recreation Industries",Accommodation,Food Services and Drinking Places,Repair and Maintenance,"Automotive Parts, Accessories, and Tire Stores",Total retail and food service¹,"Total retail and food service, excluding nonstore"
"Feb. 5 - Feb. 11, 2020³",Median,-7.0,-4.7,-3.2,-5.5,-0.3,-7.8,-5.3,-9.6,-5.5,-8.1,-1.7,3.1,-6.1,-3.8,-5.9,-3.0,-3.2,-5.1,-5.5
"Feb. 12 - Feb. 18, 2020",Median,1.7,-2.3,-4.0,5.8,-1.4,-4.8,9.9,4.3,-2.8,2.9,0.1,4.1,11.8,10.3,5.0,3.0,-4.1,1.4,1.9
"Feb. 19 - Feb. 25, 2020",Median,-3.7,-2.5,-1.6,-2.7,-6.6,0.1,-10.4,-2.2,-5.5,-9.5,-2.3,1.5,-0.7,4.8,-1.7,3.4,0.5,-4.4,-4.6
"Feb. 26 - March 3, 2020",Median,14.3,15.1,7.3,10.4,12.1,0.3,5.5,9.6,18.0,0.0,9.7,13.3,0.8,-1.8,-1.1,13.6,12.0,8.7,8.8
"March 4 - March 10, 2020",Median,-0.6,-0.5,-1.4,11.2,8.5,-8.5,-5.4,-0.5,0.1,-4.1,-0.8,3.1,-10.1,-16.7,-7.2,3.3,5.2,0.9,1.3
"March 11 - March 17, 2020",Median,-12.8,0.7,5.6,87.6,51.4,-13.8,-33.4,26.3,19.9,9.9,4.2,-4.9,-43.5,-52.5,-31.4,-9.9,-4.1,18.5,21.2
"March 18 - March 24, 2020",Median,-41.8,-9.9,4.8,19.8,7.7,-41.4,-72.9,-5.1,-14.6,-30.5,-6.6,-47.0,-78.4,-82.7,-69.8,-30.3,-20.3,-19.8,-21.0
"March 25 - March 31, 2020",Median,-58.2,-6.9,4.4,12.4,-10.5,-43.5,-78.9,-40.3,-21.3,-48.2,-18.2,-56.8,-82.9,-85.8,-70.5,-39.7,-22.7,-27.8,-28.8
"April 1 - April 7, 2020",Median,-52.3,7.2,-3.2,23.9,-7.3,-46.3,-76.2,-32.6,-10.0,-43.7,-9.1,-54.7,-82.1,-85.5,-68.4,-41.4,-21.0,-19.8,-21.0
"April 8 - April 14, 2020",Median,-55.2,3.9,-9.8,19.1,-17.1,-48.2,-75.3,-35.5,-20.3,-45.4,-16.5,-60.0,-84.0,-86.5,-67.1,-45.7,-20.9,-24.6,-25.3
"April 15 - April 21, 2020",Median,-36.6,36.1,24.4,21.1,-6.8,-44.8,-65.1,-7.3,4.1,-28.5,-3.2,-49.9,-79.9,-83.5,-59.1,-27.9,8.0,-11.7,-12.8
"April 22 - April 28, 2020",Median,-37.9,19.1,28.7,20.1,-16.7,-44.9,-64.6,-13.1,2.2,-31.4,-2.0,-55.2,-79.1,-83.0,-59.7,-26.5,1.4,-13.7,-15.1
"April 29 - May 5, 2020",Median,-21.8,41.3,35.3,25.8,-3.8,-38.4,-57.3,3.7,12.1,-16.4,10.2,-45.3,-71.2,-80.1,-55.2,-17.8,10.7,-4.6,-6.2
"May 6 - May 12, 2020",Median,-19.5,28.7,14.4,17.0,-12.2,-40.8,-52.5,4.7,-1.7,-21.6,3.4,-39.9,-72.4,-79.5,-52.6,-19.4,6.1,-10.3,-12.0
"May 13 - May 19, 2020",Median,-1.5,31.1,22.5,16.0,-5.0,-35.4,-48.4,23.4,11.3,-21.8,3.5,-28.1,-67.4,-73.7,-51.2,-13.7,15.3,-5.9,-6.9
"May 20 - May 26, 2020",Median,5.9,38.3,29.1,21.8,0.9,-31.0,-41.4,28.7,18.0,-19.5,7.8,-28.3,-63.6,-65.9,-48.7,-11.9,14.6,-1.1,-1.8
"May 27 - June 2, 2020",Median,6.0,33.5,21.1,9.4,-1.3,-30.5,-40.5,31.9,14.5,-17.4,8.2,-20.0,-55.8,-66.3,-46.3,-6.5,18.4,-3.7,-4.7
"June 3 - June 9, 2020",Median,16.2,30.7,23.2,16.2,-0.3,-26.5,-28.2,38.6,13.9,-10.8,7.1,-16.0,-53.4,-63.6,-40.4,-5.0,18.8,0.4,0.0
"June 10 - June 16, 2020",Median,17.9,27.9,20.5,12.8,-5.1,-25.9,-13.5,43.1,13.8,-8.0,8.3,-13.4,-49.8,-59.0,-36.7,-3.4,18.8,1.0,0.3
